"","Var1","Freq"
"1","a.       Economic reasons",32847
"2","a.       Economic reasons b.       Education or training",280
"3","a.       Economic reasons b.       Education or training c.        Marriage, family reunification or family formation",96
"4","a.       Economic reasons b.       Education or training d.       Access to services (e.g. health, food, water)",539
"5","a.       Economic reasons b.       Education or training e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",4
"6","a.       Economic reasons b.       Education or training f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",4
"7","a.       Economic reasons b.       Education or training g.        War/ conflict",139
"8","a.       Economic reasons b.       Education or training i.     Other, specify: _____________",1
"9","a.       Economic reasons c.        Marriage, family reunification or family formation",334
"10","a.       Economic reasons c.        Marriage, family reunification or family formation b.       Education or training",4
"11","a.       Economic reasons c.        Marriage, family reunification or family formation d.       Access to services (e.g. health, food, water)",16
"12","a.       Economic reasons c.        Marriage, family reunification or family formation e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",7
"13","a.       Economic reasons c.        Marriage, family reunification or family formation f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",31
"14","a.       Economic reasons c.        Marriage, family reunification or family formation g.        War/ conflict",55
"15","a.       Economic reasons c.        Marriage, family reunification or family formation h.       Targeted violence or persecution",2
"16","a.       Economic reasons c.        Marriage, family reunification or family formation i.     Other, specify: _____________",2
"17","a.       Economic reasons d.       Access to services (e.g. health, food, water)",134
"18","a.       Economic reasons d.       Access to services (e.g. health, food, water) b.       Education or training",6
"19","a.       Economic reasons d.       Access to services (e.g. health, food, water) c.        Marriage, family reunification or family formation",2
"20","a.       Economic reasons d.       Access to services (e.g. health, food, water) e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",7
"21","a.       Economic reasons d.       Access to services (e.g. health, food, water) f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",15
"22","a.       Economic reasons d.       Access to services (e.g. health, food, water) g.        War/ conflict",357
"23","a.       Economic reasons d.       Access to services (e.g. health, food, water) h.       Targeted violence or persecution",33
"24","a.       Economic reasons e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",17
"25","a.       Economic reasons e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake) d.       Access to services (e.g. health, food, water)",1
"26","a.       Economic reasons e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake) f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",2
"27","a.       Economic reasons e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake) g.        War/ conflict",12
"28","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",884
"29","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) c.        Marriage, family reunification or family formation",4
"30","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) d.       Access to services (e.g. health, food, water)",2
"31","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",4
"32","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) g.        War/ conflict",314
"33","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) h.       Targeted violence or persecution",22
"34","a.       Economic reasons f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) i.     Other, specify: _____________",89
"35","a.       Economic reasons g.        War/ conflict",2203
"36","a.       Economic reasons g.        War/ conflict b.       Education or training",11
"37","a.       Economic reasons g.        War/ conflict c.        Marriage, family reunification or family formation",9
"38","a.       Economic reasons g.        War/ conflict d.       Access to services (e.g. health, food, water)",133
"39","a.       Economic reasons g.        War/ conflict e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",2
"40","a.       Economic reasons g.        War/ conflict f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",77
"41","a.       Economic reasons g.        War/ conflict h.       Targeted violence or persecution",1076
"42","a.       Economic reasons g.        War/ conflict i.     Other, specify: _____________",2
"43","a.       Economic reasons h.       Targeted violence or persecution",110
"44","a.       Economic reasons h.       Targeted violence or persecution d.       Access to services (e.g. health, food, water)",4
"45","a.       Economic reasons h.       Targeted violence or persecution e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",1
"46","a.       Economic reasons h.       Targeted violence or persecution f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",25
"47","a.       Economic reasons h.       Targeted violence or persecution g.        War/ conflict",56
"48","a.       Economic reasons i.     Other, specify: _____________",28
"49","a.       Economic reasons i.     Other, specify: _____________ g.        War/ conflict",1
"50","a.       Economic reasons Marriage, family reunification or family formation",4
"51","Access to services",3670
"52","Access to services (e.g. health, food, water)",6
"53","Attend/Visit family (wedding, funeral, etc.)",1461
"54","b.       Education or training",61
"55","b.       Education or training a.       Economic reasons",33
"56","b.       Education or training a.       Economic reasons c.        Marriage, family reunification or family formation",14
"57","b.       Education or training a.       Economic reasons d.       Access to services (e.g. health, food, water)",53
"58","b.       Education or training a.       Economic reasons e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",4
"59","b.       Education or training a.       Economic reasons g.        War/ conflict",1
"60","b.       Education or training c.        Marriage, family reunification or family formation",8
"61","b.       Education or training c.        Marriage, family reunification or family formation a.       Economic reasons",1
"62","b.       Education or training c.        Marriage, family reunification or family formation d.       Access to services (e.g. health, food, water)",2
"63","b.       Education or training d.       Access to services (e.g. health, food, water)",17
"64","b.       Education or training d.       Access to services (e.g. health, food, water) a.       Economic reasons",2
"65","b.       Education or training d.       Access to services (e.g. health, food, water) g.        War/ conflict",2
"66","b.       Education or training f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) g.        War/ conflict",6
"67","b.       Education or training g.        War/ conflict",6
"68","b.       Education or training g.        War/ conflict a.       Economic reasons",1
"69","b.       Education or training g.        War/ conflict f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",1
"70","b.       Education or training i.     Other, specify: _____________",1
"71","c.        Marriage  family reunification or family formation",24
"72","c.        Marriage, family reunification or family",43
